sku-product,product-name,price,in-stock,prod-weight
MCS-HALO H47BE (2-PACK),MERCUSYS BE9300 WHOLE HOME MESH WIFI 7 SYSTEM,"RM
                                        890.00",,
MCS-MS110P,MERCUSYS DESKTOP SWITCH 10-PORT 10/100MBPS WITH 8-PORT POE+,"RM
                                        106.00",In Stock,Weight: 0.82kg
MCS-MS118CP,MERCUSYS DESKTOP SWITCH 16-PORT 10/100MBPS WITH 16-PORT POE+,"RM
                                        405.00",,
MCS-MS116GS,MERCUSYS DESKTOP SWITCH 16-PORT GIGABIT WITH RACKMOUNT,"RM
                                        161.00",,
MCS-MS120GP,MERCUSYS DESKTOP SWITCH 20-PORT GIGABIT WITH 16-PORT POE+,"RM
                                        606.00",,
MCS-MS124GS,MERCUSYS DESKTOP SWITCH 24-PORT GIGABIT WITH RACKMOUNT,"RM
                                        240.00",,
MCS-MS128GP,MERCUSYS DESKTOP SWITCH 28-PORT GIGABIT WITH 24-PORT POE+,"RM
                                        645.00",,
MCS-MS105GP,MERCUSYS DESKTOP SWITCH 5-PORT GIGABIT WITH 4-PORT POE+,"RM
                                        106.00",Out of Stock,Weight: 0.65kg
MCS-MS106LP,MERCUSYS DESKTOP SWITCH 6-PORT 10/100MBPS WITH 4-PORT POE+,"RM
                                        66.00",In Stock,Weight: 0.48kg
MCS-MS108GP,MERCUSYS DESKTOP SWITCH 8-PORT GIGABIT WITH 7-PORT POE+,"RM
                                        142.00",In Stock,Weight: 0.82kg
MCS-MA14N,MERCUSYS MA14N AX300 NANO WI-FI USB ADAPTER,"RM
                                        19.00",In Stock,Weight: 0.04kg
MCS-MA20N,MERCUSYS MA20N AC650 NANO WI-FI USB ADAPTER,"RM
                                        38.00",In Stock,Weight: 0.04kg
MCS-MA30H,MERCUSYS MA30H AC1300 HIGH GAIN WI-FI USB ADAPTER,"RM
                                        53.00",In Stock,Weight: 0.19kg
MCS-MA30N,MERCUSYS MA30N AC1300 NANO WIRELESS DUAL BAND USB ADAPTER,"RM
                                        49.00",In Stock,Weight: 0.04kg
MCS-MA530,MERCUSYS MA530 BLUETOOTH 5.3 NANO USB ADAPTER,"RM
                                        15.50",In Stock,Weight: 0.04kg
MCS-MA70XE,MERCUSYS MA70XE AX1800 WIFI 6 BLUETOOTH 5.4 PCIE ADAPTER,"RM
                                        81.00",,
MCS-MA70XM,MERCUSYS MA70XM AX1800 WIFI USB ADAPTER,"RM
                                        69.00",,
MCS-MA72XH,MERCUSYS MA72XH AX1800 HIGH GAIN WIFI USB ADAPTER,"RM
                                        72.00",,
MCS-MA80XE,MERCUSYS MA80XE AX3000 WIFI 6 BLUETOOTH 5.3 PCIE ADAPTER,"RM
                                        88.00",,
MCS-MB110-4G,MERCUSYS MB110-4G 300MBPS WIRELESS N 4G LTE ROUTER,"RM
                                        100.00",In Stock,Weight: 0.67kg
MCS-MB112-4G,MERCUSYS MB112-4G 300MBPS WIRELESS N 4G LTE ROUTER,"RM
                                        100.00",In Stock,Weight: 0.51kg
MCS-MB115-4G,MERCUSYS MB115-4G 150MBPS WIRELESS N300 4G LTE ROUTER,"RM
                                        104.00",,
MCS-MB130-4G,MERCUSYS MB130-4G AC1200 WIRELESS DUAL BAND 4G LTE ROUTER,"RM
                                        144.00",In Stock,Weight: 0.51kg
MCS-MB510-5G,MERCUSYS MB510-5G AX1500 WIRELESS DUAL BAND 5G MODEM ROUTER,"RM
                                        524.00",,
MCS-MB520-5G,MERCUSYS MB520-5G AX3000 WIRELESS DUAL BAND 5G MODEM ROUTER,"RM
                                        645.00",,
MCS-MC200,MERCUSYS MC200 PAN/TILT 1080P INDOOR HOME SECURITY WIFI CAMERA,"RM
                                        56.00",,
MCS-MC210,MERCUSYS MC210 PAN/TILT 2K 3MP INDOOR HOME SECURITY WIFI CAMERA,"RM
                                        64.00",In Stock,Weight: 0.34kg
MCS-MC230,MERCUSYS MC230 PAN/TILT 3K 5MP INDOOR HOME SECURITY WIFI CAMERA,"RM
                                        72.00",,
MCS-MC500,MERCUSYS MC500 PAN/TILT 1080P SMART OUTDOOR HOME SECURITY WIFI CAMERA,"RM
                                        80.00",,
MCS-MC510,MERCUSYS MC510 PAN/TILT 2K 3MP SMART OUTDOOR HOME SECURITY WIFI CAMERA,"RM
                                        88.00",,
MCS-ME10,MERCUSYS ME10 300MBPS WIFI RANGE EXTENDER,"RM
                                        38.00",In Stock,Weight: 0.18kg
MCS-ME60X,MERCUSYS ME60X AX1800 DUAL BAND WIFI RANGE EXTENDER,"RM
                                        88.00",,
MCS-ME80X,MERCUSYS ME80X AX3000 DUAL BAND WIFI RANGE EXTENDER,"RM
                                        138.00",,
MCS-HALO H60X (3-PACK),MERCUSYS MESH AX1500 DUAL BAND WIFI 6,"RM
                                        355.00",,
MCS-HALO H60X (2-PACK),MERCUSYS MESH AX1500 DUAL BAND WIFI 6,"RM
                                        242.00",,
MCS-HALO H70X (2-PACK),MERCUSYS MESH AX1800 DUAL BAND WIFI 6,"RM
                                        338.00",Out of Stock,Weight: 1kg
MCS-HALO H70X (3-PACK),MERCUSYS MESH AX1800 DUAL BAND WIFI 6,"RM
                                        481.00",In Stock,Weight: 1.44kg
MCS-HALO H80X (2-PACK),MERCUSYS MESH AX3000 DUAL BAND WIFI 6,"RM
                                        323.00",,Weight: 0.09kg
MCS-HALO H80X (3-PACK),MERCUSYS MESH AX3000 DUAL BAND WIFI 6,"RM
                                        460.00",In Stock,Weight: 1.48kg
MCS-HALO H80X (1-PACK),MERCUSYS MESH AX3000 DUAL BAND WIFI 6,"RM
                                        177.00",,
MCS-HALO H90X (3-PACK),MERCUSYS MESH AX3000 DUAL BAND WIFI 6,"RM
                                        1,295.00",Out of Stock,
MCS-HALO H90X (2-PACK),MERCUSYS MESH AX3000 DUAL BAND WIFI 6,"RM
                                        882.00",Out of Stock,
MCS-HALO H27BE (2-PACK),MERCUSYS MESH BE3600 DUAL BAND WIFI 7,"RM
                                        400.00",,Weight: 0.57kg
