volume-price-tag,sku-product,product-name,price,in-stock,prod-weight
Volume Pricing,MCS-MS110CMP,MERCUSYS DESKTOP SWITCH WITH 8-PORT 10/100MBPS POE+ AND 2-PORT NON-POE GIGABIT (115W),"RM
                                        162.00",,
Volume Pricing,MCS-MS110CP,MERCUSYS DESKTOP SWITCH WITH 8-PORT 10/100MBPS POE+ AND 2-PORT NON-POE GIGABIT (65W),"RM
                                        142.00",,
Volume Pricing,MCS-MS110GMP,MERCUSYS DESKTOP SWITCH WITH 8-PORT GIGABIT POE+ AND 2-PORT NON-POE GIGABIT (111W),"RM
                                        196.00",In Stock,Weight: 1.4kg
Volume Pricing,MCS-MR27BE,MERCUSYS MR27BE BE3600 DUAL-BAND WIFI 7 ROUTER,"RM
                                        242.00",,
Volume Pricing,MCS-MS105GS,MERCUSYS MS105GS 5 PORT GIGABIT DESKTOP SWITCH (METAL CASING),"RM
                                        41.00",,
Volume Pricing,TL-EH210,TPLINK 1 TO 2 GIGABIT ETHERNET SPLITTER,"RM
                                        39.50",In Stock,Weight: 0.18kg
Volume Pricing,TL-TX401,TPLINK 10 GIGABIT PCI EXPRESS NETWORK,"RM
                                        370.00",In Stock,Weight: 0.3kg
Volume Pricing,TL-TX201,TPLINK 2.5 GIGABIT PCI EXPRESS NETWORK ADAPTER,"RM
                                        87.00",In Stock,Weight: 0.21kg
Volume Pricing,TL-MR101,TPLINK 300 MBPS WIRELESS N 4G LTE ROUTER,"RM
                                        109.00",,
Volume Pricing,TL-WA855RE,TPLINK 300MBPS WIRELESS N WALL PLUGGED RANGE EXTENDER,"RM
                                        60.00",In Stock,Weight: 0.26kg
Volume Pricing,TL-TG3468,TPLINK 32-BIT GIGABIT PCI EXPRESS NETWORK,"RM
                                        39.00",In Stock,Weight: 0.12kg
Volume Pricing,TL-M7000,TPLINK 4G LTE  MOBILE WIFI 150MBPS N300 (SUPPORT UNIFI MOBILE),"RM
                                        122.00",In Stock,Weight: 0.2kg
Volume Pricing,TL-MR105,TPLINK 4G LTE ROUTER 300 MBPS WIRELESS N,"RM
                                        135.50",In Stock,Weight: 1.56kg
Volume Pricing,TL-MR100,TPLINK 4G LTE ROUTER N300 WITH 2 LAN PORT,"RM
                                        148.00",In Stock,Weight: 0.55kg
Volume Pricing,TL-ARCHER T4E,TPLINK AC1200 WIRELESS DUAL BAND PCI EXPRESS ADAPTER,"RM
                                        59.00",In Stock,Weight: 0.3kg
Volume Pricing,TL-ARCHER T2E,TPLINK AC600 WIRELESS DUAL BAND PCI EXPRESS ADAPTER,"RM
                                        49.00",In Stock,Weight: 0.22kg
Volume Pricing,TL-UE300C,TPLINK ACC TYPE-C TO GIGABIT ETHERNET ADAPTER,"RM
                                        51.00",In Stock,Weight: 0.1kg
Volume Pricing,TL-UE200,TPLINK ACC USB 2.0 ETHERNET ADAPTER 100MBPS,"RM
                                        37.00",In Stock,Weight: 0.06kg
Volume Pricing,TL-UE306,TPLINK ACC USB 3.0 TO GIGABIT ETHERNET ADAPTER,"RM
                                        46.00",In Stock,Weight: 0.08kg
Volume Pricing,TL-UE330,TPLINK ACC USB 3.0 TO GIGABIT ETHERNET ADAPTER WITH 3-PORT USB 3.0 HUB,"RM
                                        67.00",In Stock,Weight: 0.12kg
Volume Pricing,TL-UH400,TPLINK ACC USB HUB 4 PORTS 3.0 PORTABLE,"RM
                                        22.50",In Stock,Weight: 0.1kg
Volume Pricing,TL-UH700,TPLINK ACC USB HUB 7 PORTS 3.0 PORTS,"RM
                                        74.00",In Stock,Weight: 0.5kg
Volume Pricing,TL-UH720,TPLINK ACC USB HUB 7-PORTS 3.0 WITH 2 POWER CHARGING PORTS,"RM
                                        92.00",In Stock,Weight: 0.54kg
Volume Pricing,TL-WA1201,TPLINK ACCESS POINT AC1200 DUAL BAND WIRELESS GIGABIT,"RM
                                        140.00",In Stock,Weight: 1.22kg
Volume Pricing,TL-UB5A,TPLINK ADAPTER USB 2.0 BLUETOOTH 5.0 NANO SIZE,"RM
                                        22.50",In Stock,Weight: 0.14kg
Volume Pricing,TL-UB500,TPLINK ADAPTER USB 2.0 BLUETOOTH 5.0 NANO SIZE,"RM
                                        16.50",In Stock,Weight: 0.04kg
Volume Pricing,TL-ARCHER AIR-R5,TPLINK AIR R5 AX3000 DUAL BAND WIFI 6 AIR ROUTER,"RM
                                        251.00",Out of Stock,Weight: 1.76kg
Volume Pricing,TL-ARCHER TX35U PLUS,TPLINK AX1800 HIGH GAIN WIRELESS USB ADAPTER,"RM
                                        103.00",In Stock,Weight: 0.21kg
Volume Pricing,TL-ARCHER TX20UH,TPLINK AX1800 HIGH GAIN WIRELESS USB ADAPTER,"RM
                                        128.00",In Stock,Weight: 0.34kg
Volume Pricing,TL-ARCHER TX20U NANO,TPLINK AX1800 NANO WI-FI 6 DUAL BAND USB ADAPTER,"RM
                                        83.00",In Stock,Weight: 0.1kg
Volume Pricing,TL-ARCHER TX1U NANO,TPLINK AX300 NANO WIFI 6 USB ADAPTER,"RM
                                        32.00",In Stock,Weight: 0.1kg
Volume Pricing,TL-WA3001,TPLINK AX3000 GIGABIT WIFI 6 ACCESS POINT,"RM
                                        240.00",,
Volume Pricing,TL-ARCHER TX10UB NANO,TPLINK AX900 NANO DUAL BAND WIFI 6 WITH BLUETOOTH 5.3 USB ADAPTER,"RM
                                        64.00",In Stock,Weight: 0.1kg
Volume Pricing,TL-ARCHER TXE50UH,TPLINK AXE3000 HIGH GAIN TRI-BAND WI-FI 6E USB ADAPTER,"RM
                                        142.00",In Stock,Weight: 0.24kg
Volume Pricing,TL-ARCHER TXE70UH,TPLINK AXE5400 HIGH GAIN TRI-BAND WI-FI 6E USB ADAPTER,"RM
                                        171.00",In Stock,Weight: 0.22kg
Volume Pricing,TL-ARCHER TXE72E,TPLINK AXE5400 TRI-BAND WI-FI 6E BLUETOOTH 5.2 PCIe ADAPTER,"RM
                                        113.00",In Stock,Weight: 0.25kg
Volume Pricing,TL-ARCHER BE805,TPLINK BE19000 TRI-BAND WIFI 7 ROUTER,"RM
                                        1,289.00",In Stock,Weight: 4.6kg
Volume Pricing,TL-ARCHER BE230,TPLINK BE3600 DUAL-BAND WIFI 7 ROUTER,"RM
                                        322.00",In Stock,Weight: 1.4kg
Volume Pricing,TL-ARCHER BE220,TPLINK BE3600 DUAL-BAND WIFI 7 ROUTER,"RM
                                        282.00",,
Volume Pricing,TL-ARCHER BE400,TPLINK BE6500 DUAL-BAND WIFI 7 ROUTER,"RM
                                        483.00",In Stock,Weight: 2.38kg
Volume Pricing,TL-ARCHER TBE400UH,TPLINK BE6500 WIFI 7  HIGH GAIN WIRELESS USB ADAPTER,"RM
                                        185.00",In Stock,
Volume Pricing,TL-ARCHER BE550,TPLINK BE9300 TRI-BAND WIFI 7 ROUTER,"RM
                                        754.00",In Stock,Weight: 1.92kg
Volume Pricing,TL-VIGI NVR1104H-4P,TPLINK CCTV NVR1104H-4P VIGI 4 CHANNEL POE+ NETWORK VIDEO RECORDER,"RM
                                        240.00",In Stock,Weight: 1.46kg
