sku-product,product-name,price,in-stock,prod-weight
MCS-MS110CMP,MERCUSYS DESKTOP SWITCH WITH 8-PORT 10/100MBPS POE+ AND 2-PORT NON-POE GIGABIT (115W),162.0,1,0.0
MCS-MS110CP,MERCUSYS DESKTOP SWITCH WITH 8-PORT 10/100MBPS POE+ AND 2-PORT NON-POE GIGABIT (65W),142.0,1,0.0
MCS-MS110GMP,MERCUSYS DESKTOP SWITCH WITH 8-PORT GIGABIT POE+ AND 2-PORT NON-POE GIGABIT (111W),196.0,1,1.4
MCS-MR27BE,MERCUSYS MR27BE BE3600 DUAL-BAND WIFI 7 ROUTER,242.0,1,0.0
MCS-MS105GS,MERCUSYS MS105GS 5 PORT GIGABIT DESKTOP SWITCH (METAL CASING),41.0,1,0.0
TL-EH210,TPLINK 1 TO 2 GIGABIT ETHERNET SPLITTER,39.5,1,0.18
TL-TX401,TPLINK 10 GIGABIT PCI EXPRESS NETWORK,370.0,1,0.3
TL-TX201,TPLINK 2.5 GIGABIT PCI EXPRESS NETWORK ADAPTER,87.0,1,0.21
TL-MR101,TPLINK 300 MBPS WIRELESS N 4G LTE ROUTER,109.0,1,0.0
TL-WA855RE,TPLINK 300MBPS WIRELESS N WALL PLUGGED RANGE EXTENDER,60.0,1,0.26
TL-TG3468,TPLINK 32-BIT GIGABIT PCI EXPRESS NETWORK,39.0,1,0.12
TL-M7000,TPLINK 4G LTE  MOBILE WIFI 150MBPS N300 (SUPPORT UNIFI MOBILE),122.0,1,0.2
TL-MR105,TPLINK 4G LTE ROUTER 300 MBPS WIRELESS N,135.5,1,1.56
TL-MR100,TPLINK 4G LTE ROUTER N300 WITH 2 LAN PORT,148.0,1,0.55
TL-ARCHER T4E,TPLINK AC1200 WIRELESS DUAL BAND PCI EXPRESS ADAPTER,59.0,1,0.3
TL-ARCHER T2E,TPLINK AC600 WIRELESS DUAL BAND PCI EXPRESS ADAPTER,49.0,1,0.22
TL-UE300C,TPLINK ACC TYPE-C TO GIGABIT ETHERNET ADAPTER,51.0,1,0.1
TL-UE200,TPLINK ACC USB 2.0 ETHERNET ADAPTER 100MBPS,37.0,1,0.06
TL-UE306,TPLINK ACC USB 3.0 TO GIGABIT ETHERNET ADAPTER,46.0,1,0.08
TL-UE330,TPLINK ACC USB 3.0 TO GIGABIT ETHERNET ADAPTER WITH 3-PORT USB 3.0 HUB,67.0,1,0.12
TL-UH400,TPLINK ACC USB HUB 4 PORTS 3.0 PORTABLE,22.5,1,0.1
TL-UH700,TPLINK ACC USB HUB 7 PORTS 3.0 PORTS,74.0,1,0.5
TL-UH720,TPLINK ACC USB HUB 7-PORTS 3.0 WITH 2 POWER CHARGING PORTS,92.0,1,0.54
TL-WA1201,TPLINK ACCESS POINT AC1200 DUAL BAND WIRELESS GIGABIT,140.0,1,1.22
TL-UB5A,TPLINK ADAPTER USB 2.0 BLUETOOTH 5.0 NANO SIZE,22.5,1,0.14
TL-UB500,TPLINK ADAPTER USB 2.0 BLUETOOTH 5.0 NANO SIZE,16.5,1,0.04
TL-ARCHER AIR-R5,TPLINK AIR R5 AX3000 DUAL BAND WIFI 6 AIR ROUTER,251.0,0,1.76
TL-ARCHER TX35U PLUS,TPLINK AX1800 HIGH GAIN WIRELESS USB ADAPTER,103.0,1,0.21
TL-ARCHER TX20UH,TPLINK AX1800 HIGH GAIN WIRELESS USB ADAPTER,128.0,1,0.34
TL-ARCHER TX20U NANO,TPLINK AX1800 NANO WI-FI 6 DUAL BAND USB ADAPTER,83.0,1,0.1
TL-ARCHER TX1U NANO,TPLINK AX300 NANO WIFI 6 USB ADAPTER,32.0,1,0.1
TL-WA3001,TPLINK AX3000 GIGABIT WIFI 6 ACCESS POINT,240.0,1,0.0
TL-ARCHER TX10UB NANO,TPLINK AX900 NANO DUAL BAND WIFI 6 WITH BLUETOOTH 5.3 USB ADAPTER,64.0,1,0.1
TL-ARCHER TXE50UH,TPLINK AXE3000 HIGH GAIN TRI-BAND WI-FI 6E USB ADAPTER,142.0,1,0.24
TL-ARCHER TXE70UH,TPLINK AXE5400 HIGH GAIN TRI-BAND WI-FI 6E USB ADAPTER,171.0,1,0.22
TL-ARCHER TXE72E,TPLINK AXE5400 TRI-BAND WI-FI 6E BLUETOOTH 5.2 PCIe ADAPTER,113.0,1,0.25
TL-ARCHER BE805,TPLINK BE19000 TRI-BAND WIFI 7 ROUTER,1289.0,1,4.6
TL-ARCHER BE230,TPLINK BE3600 DUAL-BAND WIFI 7 ROUTER,322.0,1,1.4
TL-ARCHER BE220,TPLINK BE3600 DUAL-BAND WIFI 7 ROUTER,282.0,1,0.0
